Source:,Journalist's interviews with surgeons in the country,,,,,,,,
,,,,,,,,,
Facility name,Region,Location,Latitude,Longitude,,,,Facility type,Ownership
Kayeriku Community-based Health Planning and Services,Central,"Kayeriku Community-based Health Planning and Services, Central, Ghana",5.5607846,-1.0586135,,,,Community-based Health Planning and Services,MoH
Kentenkye Community-based Health Planning and Services,Eastern,"Kentenkye Community-based Health Planning and Services, Eastern, Ghana",6.2374036,-0.4502368,,,,Community-based Health Planning and Services,MoH
Kofiboukrom Community-based Health Planning and Services,Brong Ahafo,"Kofiboukrom Community-based Health Planning and Services, Brong Ahafo, Ghana",7.9559247,-1.6760691,,,,Community-based Health Planning and Services,MoH
Kordjour Community-based Health Planning and Services,Western,"Kordjour Community-based Health Planning and Services, Western, Ghana",5.3901978,-2.1450245,,,,Community-based Health Planning and Services,MoH
Kotokye Community-based Health Planning and Services,Central,"Kotokye Community-based Health Planning and Services, Central, Ghana",5.5607846,-1.0586135,,,,Community-based Health Planning and Services,MoH
Kpaglahi Community-based Health Planning and Services,Upper West,"Kpaglahi Community-based Health Planning and Services, Upper West, Ghana",10.2529757,-2.1450245,,,,Community-based Health Planning and Services,MoH
Kpomgu Community-based Health Planning and Services,Upper West,"Kpomgu Community-based Health Planning and Services, Upper West, Ghana",10.2529757,-2.1450245,,,,Community-based Health Planning and Services,MoH
Kucha Community-based Health Planning and Services,Northern,"Kucha Community-based Health Planning and Services, Northern, Ghana",9.5439269,-0.9056623,,,,Community-based Health Planning and Services,MoH
Kujoni Community-based Health Planning and Services,Northern,"Kujoni Community-based Health Planning and Services, Northern, Ghana",9.5439269,-0.9056623,,,,Community-based Health Planning and Services,MoH
Kunchelleyiri Community-based Health Planning and Services,Upper West,"Kunchelleyiri Community-based Health Planning and Services, Upper West, Ghana",10.2529757,-2.1450245,,,,Community-based Health Planning and Services,MoH
Kwamang Community-based Health Planning and Services,Eastern,"Kwamang Community-based Health Planning and Services, Eastern, Ghana",6.2374036,-0.4502368,,,,Community-based Health Planning and Services,MoH
Kwasi Nkrumah Community-based Health Planning and Services,Western,"Kwasi Nkrumah Community-based Health Planning and Services, Western, Ghana",5.3901978,-2.1450245,,,,Community-based Health Planning and Services,MoH
Kyensekokoo Community-based Health Planning and Services,Western,"Kyensekokoo Community-based Health Planning and Services, Western, Ghana",5.3901978,-2.1450245,,,,Community-based Health Planning and Services,MoH
Living Well Community-based Health Planning and Services,Western,"Living Well Community-based Health Planning and Services, Western, Ghana",5.3901978,-2.1450245,,,,Community-based Health Planning and Services,MoH
Mempeasem Community-based Health Planning and Services,Northern,"Mempeasem Community-based Health Planning and Services, Northern, Ghana",9.5439269,-0.9056623,,,,Community-based Health Planning and Services,MoH
Mutiensa Community-based Health Planning and Services,Upper East,"Mutiensa Community-based Health Planning and Services, Upper East, Ghana",10.7082499,-0.9820668,,,,Community-based Health Planning and Services,MoH
Muzdem Community-based Health Planning and Services,Upper East,"Muzdem Community-based Health Planning and Services, Upper East, Ghana",10.7082499,-0.9820668,,,,Community-based Health Planning and Services,MoH
Nankete Community-based Health Planning and Services,Brong Ahafo,"Nankete Community-based Health Planning and Services, Brong Ahafo, Ghana",7.9559247,-1.6760691,,,,Community-based Health Planning and Services,MoH
New Saweresu Community-based Health Planning and Services,Brong Ahafo,"New Saweresu Community-based Health Planning and Services, Brong Ahafo, Ghana",7.9559247,-1.6760691,,,,Community-based Health Planning and Services,MoH
Njere Community-based Health Planning and Services,Volta,"Njere Community-based Health Planning and Services, Volta, Ghana",6.5781373,0.4502368,,,,Community-based Health Planning and Services,MoH
No.4 Community-based Health Planning and Services,Eastern,"No.4 Community-based Health Planning and Services, Eastern, Ghana",6.2374036,-0.4502368,,,,Community-based Health Planning and Services,MoH
Nsusuaden Community-based Health Planning and Services,Western,"Nsusuaden Community-based Health Planning and Services, Western, Ghana",5.3901978,-2.1450245,,,,Community-based Health Planning and Services,MoH
Ntonaboma Community-based Health Planning and Services,Eastern,"Ntonaboma Community-based Health Planning and Services, Eastern, Ghana",6.2374036,-0.4502368,,,,Community-based Health Planning and Services,MoH
Nuamakrom Community-based Health Planning and Services,Central,"Nuamakrom Community-based Health Planning and Services, Central, Ghana",5.5607846,-1.0586135,,,,Community-based Health Planning and Services,MoH
Nyame Ama Clinic,Western,"Nyame Ama Clinic, Western, Ghana",5.3901978,-2.1450245,,,,Clinic,FBO
Salifu Community-based Health Planning and Services,Volta,"Salifu Community-based Health Planning and Services, Volta, Ghana",6.5781373,0.4502368,,,,Community-based Health Planning and Services,MoH
Shime Health Centre,Volta,"Shime Health Centre, Volta, Ghana",6.5781373,0.4502368,,,,Health Centre,MoH
Sokutsime Community-based Health Planning and Services,Volta,"Sokutsime Community-based Health Planning and Services, Volta, Ghana",6.5781373,0.4502368,,,,Community-based Health Planning and Services,MoH
St. John of God Clinic Annex Clinic,Western,"St. John of God Clinic Annex Clinic, Western, Ghana",5.3901978,-2.1450245,,,,Clinic,FBO
Tseyinu Community-based Health Planning and Services,Volta,"Tseyinu Community-based Health Planning and Services, Volta, Ghana",6.5781373,0.4502368,,,,Community-based Health Planning and Services,MoH
Wli Cenral Health Centre,Volta,"Wli Cenral Health Centre, Volta, Ghana",7.1162338,0.5864821,,,,Health Centre,MoH
Wuratrem Community-based Health Planning and Services,Western,"Wuratrem Community-based Health Planning and Services, Western, Ghana",5.3901978,-2.1450245,,,,Community-based Health Planning and Services,MoH
Yeboah Community-based Health Planning and Services,Central,"Yeboah Community-based Health Planning and Services, Central, Ghana",5.5607846,-1.0586135,,,,Community-based Health Planning and Services,MoH
