Source:,"Guttmacher Institute, 2019",,
"Among women aged 15–49 in the richest wealth quintile who want to avoid pregnancy, % not using any method of contraception, 2019 [2]",16,20,19
"Among women aged 15–49 in the richest wealth quintile who want to avoid pregnancy, % using LARC methods, 2019",29,11,7
"Among women aged 15–49 in the richest wealth quintile who want to avoid pregnancy, % using a modern method, 2019 [4, 2]",82,61,80
"Among women aged 15–49 in the richest wealth quintile who want to avoid pregnancy, % using a traditional method of contraception, 2019 [5, 2]",2,19,0
"Among women aged 15–49 in the richest wealth quintile who want to avoid pregnancy, % using condoms, 2019 [2]",6,17,16
"Among women aged 15–49 in the richest wealth quintile who want to avoid pregnancy, % using injectables, 2019 [2]",27,17,22
"Among women aged 15–49 in the richest wealth quintile who want to avoid pregnancy, % using male or female sterilization, 2019 [2]",3,5,18
"Among women aged 15–49 in the richest wealth quintile who want to avoid pregnancy, % using other modern methods of contraception, 2019 [2]",6,1,1
"Among women aged 15–49 in the richest wealth quintile who want to avoid pregnancy, % with a met need for modern contraception, 2019 [4, 3, 2]",82,61,80
"Among women aged 15–49 in the richest wealth quintile who want to avoid pregnancy, % with an unmet need for modern contraception, 2019 [4, 3, 2]",18,39,20
"Among women aged 15–49 in the richest wealth quintile, % not wanting to avoid pregnancy, 2019 [1]",44,50,43
"Among women aged 15–49 in the richest wealth quintile, % who want to avoid pregnancy, 2019 [2]",56,50,57
"Among women aged 15–49 in the richest wealth quintile, no. who want to avoid pregnancy, 2019 [2]","2,000,000","1,900,000","1,700,000"
"Among women aged 15–49 in union who want to avoid pregnancy, % not using any method of contraception, 2019 [2]",19,33,20
"Among women aged 15–49 in union who want to avoid pregnancy, % using LARC methods, 2019 [6, 2]",30,14,7
"Among women aged 15–49 in union who want to avoid pregnancy, % using a modern method, 2019 [4, 2]",79,58,79
"Among women aged 15–49 in union who want to avoid pregnancy, % using a traditional method of contraception, 2019 [5, 2]",2,9,0
"Among women aged 15–49 in union who want to avoid pregnancy, % using condoms, 2019 [2]",2,4,13
"Among women aged 15–49 in union who want to avoid pregnancy, % using contraceptive pills, patches or rings, 2019 [2]",6,10,12
"Among women aged 15–49 in union who want to avoid pregnancy, % using injectables, 2019 [2]",36,23,35
"Among women aged 15–49 in union who want to avoid pregnancy, % using male or female sterilization, 2019 [2]",4,6,12
"Among women aged 15–49 in union who want to avoid pregnancy, % using other modern methods of contraception, 2019 [2]",1,1,0
"Among women aged 15–49 in union who want to avoid pregnancy, % with a met need for modern contraception, 2019 [4, 3, 2]",79,58,79
"Among women aged 15–49 in union who want to avoid pregnancy, % with an unmet need for modern contraception, 2019 [4, 3, 2]",21,42,21
"Among women aged 15–49 in union, % not wanting to avoid pregnancy, 2019 [1]",22,37,29
"Among women aged 15–49 in union, % who want to avoid pregnancy, 2019 [2]",78,63,71
"Among women aged 15–49 in union, no. who want to avoid pregnancy, 2019 [2]","6,000,000","5,200,000","4,100,000"
"Among women aged 15–49 never in union who want to avoid pregnancy, % not using any method of contraception, 2019 [2]",34,31,17
"Among women aged 15–49 never in union who want to avoid pregnancy, % using LARC methods, 2019 [6, 2]",13,8,7
"Among women aged 15–49 never in union who want to avoid pregnancy, % using a modern method, 2019 [4, 2]",64,55,82
"Among women aged 15–49 never in union who want to avoid pregnancy, % using a traditional method of contraception, 2019 [5, 2]",3,15,0
"Among women aged 15–49 never in union who want to avoid pregnancy, % using condoms, 2019 [2]",14,28,25
"Among women aged 15–49 never in union who want to avoid pregnancy, % using contraceptive pills, patches or rings, 2019 [2]",4,4,6
"Among women aged 15–49 never in union who want to avoid pregnancy, % using injectables, 2019 [2]",19,15,41
"Among women aged 15–49 never in union who want to avoid pregnancy, % using male or female sterilization, 2019 [2]",1,0,3
"Among women aged 15–49 never in union who want to avoid pregnancy, % using other modern methods of contraception, 2019 [2]",13,1,1
"Among women aged 15–49 never in union who want to avoid pregnancy, % with a met need for modern contraception, 2019 [4, 3, 2]",64,55,82
"Among women aged 15–49 never in union who want to avoid pregnancy, % with an unmet need for modern contraception, 2019 [4, 3, 2]",36,45,18
"Among women aged 15–49 never in union, % not wanting to avoid pregnancy, 2019 [1]",72,75,45
"Among women aged 15–49 never in union, % who want to avoid pregnancy, 2019 [2]",28,25,55
"Among women aged 15–49 never in union, no. who want to avoid pregnancy, 2019 [2]","1,200,000","900,000","5,100,000"
"Among women aged 15–49 who need care following a major obstetric complication, % not receiving care, 2019",60,61,5
"Among women aged 15–49 who want to avoid pregnancy, % not using any method of contraception, 2019 [2]",21,32,19
"Among women aged 15–49 who want to avoid pregnancy, % using LARC methods, 2019 [6, 2]",28,14,7
"Among women aged 15–49 who want to avoid pregnancy, % using a modern method, 2019 [4, 2]",77,59,81
"Among women aged 15–49 who want to avoid pregnancy, % using a traditional method of contraception, 2019 [5, 2]",2,9,0
"Among women aged 15–49 who want to avoid pregnancy, % using condoms, 2019 [2]",4,8,20
"Among women aged 15–49 who want to avoid pregnancy, % using contraceptive pills, patches or rings, 2019 [2]",6,9,8
"Among women aged 15–49 who want to avoid pregnancy, % using injectables, 2019 [2]",33,22,38
"Among women aged 15–49 who want to avoid pregnancy, % using male or female sterilization, 2019 [2]",3,5,7
"Among women aged 15–49 who want to avoid pregnancy, % using other modern methods of contraception, 2019 [2]",3,1,1
"Among women aged 15–49 who want to avoid pregnancy, % with a met need for modern contraception, 2019 [4, 3, 2]",77,59,81
"Among women aged 15–49 who want to avoid pregnancy, % with an unmet need for modern contraception, 2019 [4, 3, 2]",23,41,19
"Among women aged 15–49 whose newborns need care for complications, % whose newborns do not receive care, 2019",42,47,14
"Annual no. of women aged 15–19 with a live birth , 2019","210,000","360,000","160,000"
"Annual no. of women aged 15–49 with a live birth, 2019","1,500,000","2,100,000","1,200,000"
"Average annual % of all pregnancies ending in abortion, 2015-2019",23,16,24
"Average annual % of unintended pregnancies ending in abortion, 2015-2019",38,36,37
"Average annual no. of abortions among women aged 15–49, 2015-2019","550,000","480,000","460,000"
"Average annual no. of abortions per 1,000 women aged 15–49, 2015-2019",43,38,30
"Average annual no. of intended pregnancies per 1,000 women aged 15–49, 2015-2019",72,123,44
"Average annual no. of planned births per 1,000 women aged 15–49, 2015-2019",60,103,37
"Average annual no. of pregnancies among women aged 15–49, 2015-2019","2,400,000","2,900,000","2,000,000"
"Average annual no. of pregnancies per 1,000 women aged 15–49, 2015-2019",185,228,126
"Average annual no. of unintended pregnancies among women aged 15–49, 2015-2019","1,500,000","1,300,000","1,300,000"
"Average annual no. of unintended pregnancies per 1,000 women aged 15–49, 2015-2019",113,105,81
"Average annual no. of unplanned births per 1,000 women aged 15–49, 2015-2019",55,53,41
"No. of rural women aged 15–49 who want to avoid pregnancy, 2019 [2]","4,700,000","4,300,000","3,100,000"
"No. of urban women aged 15–49 who want to avoid pregnancy, 2019 [2]","3,200,000","2,600,000","6,600,000"
"No. of women aged 15–19 giving birth who do not deliver in a health facility, 2019","71,000","100,000","3,700"
"No. of women aged 15–19 giving birth who have <4 antenatal visits, 2019 [7]","110,000","190,000","38,000"
"No. of women aged 15–19 not receiving the care they need following a major obstetric complication, 2019","37,000","58,000","1,400"
"No. of women aged 15–19 who want to avoid pregnancy, 2019 [2]","650,000","670,000","790,000"
"No. of women aged 15–19 whose newborns do not receive needed care for complications, 2019","26,000","51,000","6,200"
"No. of women aged 15–49 giving birth who do not deliver in a health facility, 2019","510,000","740,000","45,000"
"No. of women aged 15–49 giving birth who have <4 antenatal visits, 2019 [7]","660,000","1,100,000","260,000"
"No. of women aged 15–49 not receiving the care they need following a major obstetric complication, 2019","260,000","370,000","15,000"
"No. of women aged 15–49 who want to avoid pregnancy, 2019 [2]","7,900,000","7,000,000","9,700,000"
"No. of women aged 15–49 whose newborns do not receive needed care for complications, 2019","180,000","340,000","50,000"
