Source:,http://hfrportal.moh.go.tz/index.php?r=facilities/BedCapacity,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Bed Capacity for operating facility As of 05-08-2021 16:19:42,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Facility Number,Facility Name,Latitude,Longitude,Common Name,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Date Opened,Official Phone Number,Available Bed
114449-2,Aden,,,,Tabora Region,Tabora District,Tabora MC,Chemchem,Matola,Level IA2 (Dispensary Laboratory),,Private,,763595363,
113178-8,Adon,,,,Shinyanga Region,Kahama District,Kahama TC,Kahama Mjini,,Level IA2 (Dispensary Laboratory),,Private,,,
114082-1,Adonai,-2.50454,32.92468,,Mwanza Region,Ilemela District,Ilemela MC,Nyasaka,Chamwenda,Dispensary,,Private,01-01-70,0715414910/0684676030,2
113095-4,Adonai,,,,Ruvuma Region,Nyasa District,Nyasa DC,Mbambabay,,Level IA2 (Dispensary Laboratory),,Private,,,
114781-8,Adoniram,-2.3023,30.393,,Kagera Region,Ngara District,Ngara DC,Ngara Mjini,Mubinyange,Basic Dental Clinic,,Private,01-01-70,,
111902-3,Adricardo,-6.80516,39.27842,Adrikalo,Dar es Salaam Region,Ilala District,Ilala MC,Upanga Mashariki,Kitonga,Specialized Polyclinic,,Private,08-01-17,710479525,6
112008-8,Advert,-6.34682,31.07613,advent,Katavi Region,Mpanda District,Mpanda MC,Kashaulili,Kashaulili,Level IA2 (Dispensary Laboratory),,Private,07-01-18,,
112426-2,Aeromeda,-6.828327,39.255942,Aeromeda super specialized clinic,Dar es Salaam Region,Ilala District,Ilala MC,Ilala,Shariff Shamba,Specialized Polyclinic,,Private,09-04-18,767948045,6
120282-9,Aerospace Medical Clinic,,,Aviation Clinic,Dar es Salaam Region,Ilala District,Ilala MC,Kipawa,Karakata,Medical Clinic,,Private,13-03-21,2.55718E+11,
110995-8,Afana Eye Care,-8.89592,33.44146,Afana,Mbeya Region,Mbeya District,Mbeya CC,Sisimba,Tanesco,Optometry Clinic,,Private,08-01-13,715176172,
113203-4,Afrann,-4.030728,33.133757,,Tabora Region,Nzega District,Nzega DC,Nata,Nata,Level IA2 (Dispensary Laboratory),,Private,,,
114318-9,Afri Salasala,-6.701529,39.197697,,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Wazo,Salasala,Level IA2 (Dispensary Laboratory),,Private,,759223566,
105282-8,Africa Amini Momella,-3.213285,36.861852,Momela Olkungwado,Arusha Region,Arumeru District,Meru DC,Ngarenanyuki,Olkong'wado,Health Center,,Public,01-01-70,,20
100034-8,Africa Sana Dental,-6.773807,39.233285,Africa Sana,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Kijitonyama,Mwenge,Basic Dental Clinic,,Private,,,
112096-3,Africana Eye Centre,-6.86653,39.27168,,Dar es Salaam Region,Temeke District,Temeke MC,Miburani,Wailes,Optometry Clinic,,Private,01-01-70,715262772,
114441-9,Afridaus,,,,Kigoma Region,Kigoma District,Kigoma Ujiji MC,Buzebazeba,Burega,Level IA2 (Dispensary Laboratory),,Private,01-01-70,766066726,
114272-8,Afya,-7.399971,36.988392,,Morogoro Region,Kilosa District,Kilosa DC,Msowero,,Level IA2 (Dispensary Laboratory),,Private,,754209577,
114271-0,Afya,,,,Morogoro Region,Morogoro District,Morogoro MC,Tungi,,Level IA2 (Dispensary Laboratory),,Private,,713242034,
100035-5,Afya,-6.340138,31.068905,Afya,Katavi Region,Mpanda District,Mpanda MC,Makanyagio,Makanyagio,Dispensary,,Private,01-01-70,025-2820354,8
100036-3,Afya Bora,-6.84474,39.2261,Afya Bora,Dar es Salaam Region,Ilala District,Ilala MC,Vingunguti,Miembeni,Dispensary,,Private,02-09-04,,4
100037-1,Afya Care,-6.91265,39.2547,,Dar es Salaam Region,Temeke District,Temeke MC,Kiburugwa,Kwanyoka,Dispensary,,Private,,,
113460-0,Afya care,,,,Dar es Salaam Region,Ilala District,Ilala MC,Kiwalani,,Level IA2 (Dispensary Laboratory),,Private,01-01-70,,4
111888-4,Afya care charitable,-6.79672,39.12846,Afya care mbezi kwa msuguli,Dar es Salaam Region,Ubungo District,Ubungo MC,Msigani,Msigani,Dispensary,,Private,01-01-70,713350084,4
100039-7,Afya Care Charitable,-6.827736,39.19782,Tausi,Dar es Salaam Region,Ilala District,Ilala MC,Kimanga,Kisukuru,Dispensary,,Private,,715338576,3
100038-9,Afya Care charitable,-6.85834,39.20393,Afya Care,Dar es Salaam Region,Ilala District,Ilala MC,Kipawa,Karakata,Dispensary,,Private,07-07-12,713313273,4
110612-9,Afya care Sinza,-6.78639,39.22538,afya,Dar es Salaam Region,Ubungo District,Ubungo MC,Sinza,Sinza B,Dispensary,,Private,01-01-70,75499039,2
114234-8,Afya Check,,,,Dodoma Region,Dodoma District,Dodoma MC,Kikuyu Kusini,,Level IA2 (Dispensary Laboratory),,Private,,762525427,
112054-2,Afya check superspecialized kidney and diagnostic and dialysis,-8.91691,33.46545,Afya Clinic,Mbeya Region,Mbeya District,Mbeya CC,Ruanda,Kabwe,Medical Clinic,,Private,01-01-16,,2
100040-5,Afya Head Quarters,-6.81462,39.29296,,Dar es Salaam Region,Ilala District,Ilala MC,Kivukoni,Kivukoni,Dispensary,,Public,,,
113084-8,Afya kwanza,,,,Ruvuma Region,Songea District,Songea MC,Mjini,,Level IA2 (Dispensary Laboratory),,Private,,,
114287-6,afya kwanza,,,,Dar es Salaam Region,Ubungo District,Ubungo MC,Mbezi,Mbezi Luis,Level IA2 (Dispensary Laboratory),,Private,,656386793,
111552-6,Afya Max,-3.365947,36.675616,Afyamax Clinics,Arusha Region,Arusha District,Arusha CC,Ngarenaro,Kambi ya Fisi,Poly Clinic,,Private,10-10-16,620500200,2
111873-6,Afya Medicare .,-8.8415,34.83342,Afya Medicare Health Centre,Njombe Region,Njombe District,Makambako TC,Ubena,Maguvani,Health Center,,Private,06-01-17,766664751,24
110425-6,Afya Specialized,-6.82778,37.6674,,Morogoro Region,Morogoro District,Morogoro MC,Kingo,Kingo,Medical Clinic,,Private,,,
113078-0,Afya yetu,,,,Ruvuma Region,Songea District,Songea MC,Bombambili,,Level IA2 (Dispensary Laboratory),,Private,,,
111946-0,Afyabora,-1.33157,31.81111,AFYA BORA,Kagera Region,Bukoba District,Bukoba MC,Bilele,Jamhuri,Dispensary,,Private,01-01-70,782728426,
120456-9,AFYADENT,,,AFYADENT,Dar es Salaam Region,Temeke District,Temeke MC,Toangoma,Masuliza,Basic Dental Clinic,,Private,05-08-19,"715,005,051",
120430-4,AFYAPOINT,-10.67484,35.63956,AFYAPOINT,Ruvuma Region,Songea District,Songea MC,Mfaranyaki,Matomondo,Dialysis Clinic,,Private,27-05-21,"716,713,701",
112141-7,Afyatime,-6.826667,39.264248,Afyatime,Dar es Salaam Region,Ilala District,Ilala MC,Chanika,Nzasa,Specialized Polyclinic,,Private,01-01-70,713308097,4
100042-1,Afyayako,-7.947496,31.617692,Afya yako prinmat,Rukwa Region,Sumbawanga District,Sumbawanga MC,Mazwi,NHC,Maternity Home,,Private,,,
113429-5,Aga Khan,-1.33076,31.81223,Aga Khan,Kagera Region,Bukoba District,Bukoba MC,Miembeni,Jamhuri,Poly Clinic,,Private,10-11-18,699784923,4
112974-1,Aga Khan,-5.018628,32.811134,,Tabora Region,Tabora District,Tabora MC,Kanyenye,Msikitini,Poly Clinic,,Private,01-01-70,683023413,
100046-2,Aga Khan,-6.180008,35.746365,Aga Khan,Dodoma Region,Dodoma District,Dodoma MC,Madukani,Jamali,Poly Clinic,,Private,07-01-60,262321789,14
108577-8,Aga Khan,-3.37077,36.68944,AGA KHAN HEALTH CENTRE,Arusha Region,Arusha District,Arusha CC,Kati,Pangani,Health Center,,Private,01-07-13,2.55757E+11,
100045-4,Aga Khan,-7.78328,35.69643,Agakhan Medical centre,Iringa Region,Iringa District,Iringa MC,Kitanzini,Maweni,Poly Clinic,,Private,01-01-70,262702277,4
100044-7,Aga Khan,-6.82926,37.66494,agakhan,Morogoro Region,Morogoro District,Morogoro MC,Mji Mkuu,Boma,Poly Clinic,,Private,03-05-85,,5
100047-0,Aga Khan,-6.842641,39.185461,Agakhan health service Tanzania,Dar es Salaam Region,Ilala District,Ilala MC,Kivukoni,Sea View,Hospital at Zonal Level,,Private,01-01-70,692411089,54
111532-8,Aga Khan,-6.74966,39.24036,Aga Khan Mikocheni,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Bunju,Bunju A,Medical Clinic,,Private,01-01-70,,
111531-0,Aga Khan,-6.74668,39.2762,Aga Khan Masaki,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Msasani,Masaki,General Clinic,,Private,05-11-16,785939717,6
110621-0,Aga Khan,-6.725548,39.214022,Aga khan Kawe,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Kawe,Mbezi beach A,Poly Clinic,,Private,06-07-14,,2
120284-5,Aga Khan Masaki,,,Medical Clinic,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Msasani,Masaki,Poly Clinic,,Private,19-03-21,2.55786E+11,
111808-2,Aga Khan Mianzini,-6.91529,39.27254,,Dar es Salaam Region,Temeke District,Temeke MC,Mianzini,Majimatitu,Poly Clinic,,Private,05-11-16,0687863248/0757316497/0757350176,6
113635-7,Aga khan Polyclinic,-2.02327,33.87325,Agakhan,Mara Region,Bunda District,Bunda TC,Kabarimu,Saranga,Poly Clinic,,Private,03-01-19,,4
114837-8,Aga Khan Polyclinic-Kibaha,-6.75288,38.93427,Aga Khan Polyclinic Kibaha,Pwani Region,Kibaha District,Kibaha TC,Mkuza,Mkuza,Poly Clinic,,Private,07-01-20,,6
111793-6,Aga Khan Tabata,-6.84264,39.18546,Agakhan Health Services Tanzania,Dar es Salaam Region,Ilala District,Ilala MC,Segerea,Migombani,Poly Clinic,,Private,01-01-70,788234542,
111422-2,Aga Khan Tandika,-6.868072,39.259839,73377,Dar es Salaam Region,Temeke District,Temeke MC,Tandika,Tamla,Poly Clinic,,Private,03-07-17,0687863248/0757316497/0757350176,
112229-0,Aga Khan Ukonga,-6.86637,39.19892,Agakhan,Dar es Salaam Region,Ilala District,Ilala MC,Kipawa,Kipunguni,Poly Clinic,,Private,08-01-17,692411089,2
114022-7,Aga Khan Yombo Vituka,-6.89173,39.22363,Aga Khan,Dar es Salaam Region,Temeke District,Temeke MC,Buza,Buza,Poly Clinic,,Private,01-01-70,683923413,6
111929-6,Aga Khani Medical Bunju,-6.7467,39.276,Aga Khani Medical Clinic Bunju,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Bunju,Bunju A,Dispensary,,Private,05-11-16,788234556,4
111928-8,Aga Khani Medical masaki,,,Aga Khani Medical Clinic Masaki,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Msasani,Masaki,Dispensary,,Private,,788234556,4
114463-3,Aga Khani Sinza,-6.788601,39.218807,Aga khan Sinza,Dar es Salaam Region,Ubungo District,Ubungo MC,Sinza,Sinza C,Poly Clinic,,Private,01-01-70,682200101,4
111907-2,Agakhan,-6.87674,39.34119,Aga khan,Dar es Salaam Region,Kigamboni District,Kigamboni MC,Kibada,Kiziza,Poly Clinic,,Private,01-01-70,692411090,2
120416-3,agakhan,,,agakhan polyclinic ukonga,Dar es Salaam Region,Ilala District,Ilala MC,Kipawa,Karakata,Poly Clinic,,Private,15-01-18,"716,295,322",
120417-1,agakhan,,,agakhan polyclinic segerea,Dar es Salaam Region,Ilala District,Ilala MC,Segerea,Segerea,Poly Clinic,,Private,15-01-18,"716,295,322",
112332-2,Agakhan Kimara,-6.79144,39.16736,Aga Khan Health Service Tanzania,Dar es Salaam Region,Ubungo District,Ubungo MC,Saranga,Matangini,Poly Clinic,,Private,01-11-18,2.55685E+11,
112162-3,Agakhan poly,-3.827406,32.59816,Agakhan poly,Shinyanga Region,Kahama District,Kahama TC,Kahama Mjini,Igalilimi,Poly Clinic,,Private,05-08-17,788234498,3
110808-3,Agakhan Town,-6.81974,39.284248,Agakhan Hospital,Dar es Salaam Region,Ilala District,Ilala MC,Mchafukoge,Mchafukoge,Health Center,,Private,03-02-15,4.2537E+11,
111687-0,Agano .,-8.845599999999999,34.82562,Agano Dispensary,Njombe Region,Njombe District,Makambako TC,Ubena,,Dispensary,,Private,09-09-16,769215649,4
113082-2,Agape,,,,Ruvuma Region,Songea District,Songea DC,Wino,,Level IA2 (Dispensary Laboratory),,Private,,,
100048-8,Agape,-3.55124,36.9809,Agape,Manyara Region,Simanjiro District,Simanjiro DC,Mrerani,Mrerani,Dispensary,,Private,,,
113321-4,Agape,-2.491754,32.905909,,Mwanza Region,Ilemela District,Ilemela MC,Nyamanoro,,Level IA2 (Dispensary Laboratory),,Private,,,
111982-5,Agape,-3.396758,36.658008,,Arusha Region,Arusha District,Arusha CC,Sombetini,Kirika B,Level IA2 (Dispensary Laboratory),,Private,,,
112674-7,Agape,-6.81366,37.669422,Hamisi Kindamba,Morogoro Region,Morogoro District,Morogoro MC,Mwembesongo,,Level III Single purpose Health Laboratory,,Private,,,
100050-4,Agape,-9.802,37.93013,,Lindi Region,Liwale District,Liwale DC,Liwale Mjini,,Dispensary,,Private,01-01-70,,2
111570-8,Agape,-6.80108,39.02182,King'anda,Pwani Region,Kisarawe District,Kisarawe DC,Kiluvya,Kiluvya 'B',Level IA2 (Dispensary Laboratory),,Private,08-01-15,768059297,
113138-2,Agape,-6.387755,37.339629,Agape Dispensary,Morogoro Region,Kilosa District,Kilosa DC,Dumila,Dumila,Dispensary,,Private,07-01-18,,3
112276-1,Agape,-3.32022,35.4045,Agape,Arusha Region,Karatu District,Karatu DC,Karatu,Karatu Mjini,Dispensary,,Private,01-01-18,754801542,4
100053-8,Agha Khan,-8.89312,33.44157,Aga Khan,Mbeya Region,Mbeya District,Mbeya CC,Sisimba,Soko kuu,Poly Clinic,,Private,,025-2502043/2502265,10
111833-0,Aghaki,,,AGHAKI,Iringa Region,Mufindi District,Mufindi DC,Igowole,Igowole,Dispensary,,Private,06-01-18,,2
112683-8,AGM,-6.86391,39.26955,,Dar es Salaam Region,Temeke District,Temeke MC,Miburani,Wailes,Medical Clinic,,Private,10-10-18,,
100055-3,Ahmadiyya,-6.78845,37.6478,,Morogoro Region,Morogoro District,Morogoro MC,Kihonda,,Dispensary,,Private,,,
100056-1,Ahmadiyya,-6.82734,37.66318,Ahmadiyya,Morogoro Region,Morogoro District,Morogoro MC,Sabasaba,Makongoro,Poly Clinic,,Private,07-01-86,2614409,3
111331-5,Ahmes Sec.,-6.499635,38.913493,Ally Hassan Mwinyi Sec,Pwani Region,Bagamoyo District,Bagamoyo DC,Kiromo,Kiromo,Dispensary,,Private,05-11-15,,3
100058-7,AIC Bweri,-1.53519,33.84328,Bweri AIC,Mara Region,Musoma District,Musoma MC,Bweri,Bweri,Health Center,,Private,,784637611,6
100059-5,AIC Nyasho,-1.512699,33.802456,AIC Nyasho,Mara Region,Musoma District,Musoma MC,Nyasho,Nyasho Magereza,Dispensary,,Private,03-03-03,784637611,6
109601-5,AICC,-3.37481,36.69946,,Arusha Region,Arusha District,Arusha CC,Sekei,Mahakama,Hospital at District Level,,Public,09-06-97,,32
100061-1,AICT Bunda,-2.01881,33.872,AICT BUNDA,Mara Region,Bunda District,Bunda TC,Kabarimu,Kabarimu,Dispensary,,Private,07-07-06,764932941,5
100062-9,AICT Makongoro,-2.50528,32.90121,AICT,Mwanza Region,Nyamagana District,Nyamagana MC,Isamilo,Nyakabungo,Health Center,,Private,01-01-70,765186282,31
100067-8,Airport Church,-6.86298,39.206301,,Dar es Salaam Region,Ilala District,Ilala MC,Kipawa,Kipunguni,Dispensary,,Private,,,
113443-6,Airport M6,,,,Dar es Salaam Region,Ilala District,Ilala MC,Ukonga,,Level IA2 (Dispensary Laboratory),,Private,06-10-02,,6
100068-6,Airport MICO,-6.867489,39.192029,,Dar es Salaam Region,Ilala District,Ilala MC,Kipawa,Kipunguni,Dispensary,,Private,,,
100069-4,Airport Police,Not Set,Not Set,Terminal One,Dar es Salaam Region,Ilala District,Ilala MC,Kipawa,Kipunguni,Dispensary,,Public,06-01-67,,
110667-3,Airport Tanzania,-6.862977,39.206299,Airport Dispensary,Dar es Salaam Region,Ilala District,Ilala MC,Kipawa,Kipunguni,Dispensary,,Public,06-01-72,,2
100070-2,Airwing 603 ATS,Not Set,Not Set,Air Wing,Dar es Salaam Region,Ilala District,Ilala MC,Kipawa,Kipunguni,Dispensary,,Public,06-01-72,,8
100072-8,Akim Dental Services,-6.81857,39.28699,Kwa Akim,Dar es Salaam Region,Ilala District,Ilala MC,Kivukoni,Kivukoni,Basic Dental Clinic,,Private,01-01-70,754262280,
110976-8,Akimu Maternity Home,,,Akimu Maternity Home,Mara Region,Musoma District,Musoma MC,Makoko,Bukanga,Maternity Home,,Private,,,
100079-3,Al - Amal,-7.77564,35.70213,Umusalama,Iringa Region,Iringa District,Iringa MC,Gangilonga,Sabasaba,Dispensary,,Private,09-07-13,652079609,5
114349-4,AL ABBAS DENTAL,-1.32539,31.81136,AL ABBAS DENTAL CLINIC,Kagera Region,Bukoba District,Bukoba MC,Bilele,Uhuru,Basic Dental Clinic,,Private,,767291030,
100074-4,Al Hassan,-6.81909,39.28271,,Dar es Salaam Region,Ilala District,Ilala MC,Mchafukoge,Mchafukoge,Basic Dental Clinic,,Private,,,
100075-1,Al Hilal,-6.81897,39.28139,Al Hilal,Dar es Salaam Region,Ilala District,Ilala MC,Mchafukoge,Mchafukoge,Poly Clinic,,Private,01-01-70,222124937,4
100086-8,Al Jumaa,-6.818188,39.275753,Al Jumaa Dispensary,Dar es Salaam Region,Ilala District,Ilala MC,Kariakoo,Kariakoo kaskazini,Dispensary,,Private,01-01-70,2182849,4
100078-5,Al Karimu,-6.840399,39.237449,Bakwata,Dar es Salaam Region,Ilala District,Ilala MC,Vingunguti,Kombo,Dispensary,,Private,09-08-97,787478034,4
100082-7,Al-Ehsaa,-3.36883,37.3457,KALOLENI HEALTH CENTRE,Kilimanjaro Region,Moshi District,Moshi MC,Kaloleni,Kaloleni,Dispensary,,Private,01-01-70,272750102,4
100085-0,Al-Ijumaa,-2.520509,32.902825,Al- Jumaa,Mwanza Region,Nyamagana District,Nyamagana MC,Nyamagana,Nyamagana Magharibi,Health Center,,Private,04-01-03,762167376,16
112065-8,AL-Mansoor,-4.63479,34.65291,AL-Mansoor,Singida Region,Singida District,Singida DC,Msisi,Nkwae,Dispensary,,Private,01-01-70,,2
100092-6,Al-Mohlem,-5.083031,39.116825,Al-Mohlem,Tanga Region,Tanga District,Tanga CC,Mzingani,Mzingani,Health Center,,Private,06-01-97,784294544,2
112983-2,AL-Tabibu,-10.36506,40.16107,,Mtwara Region,Mtwara District,Mtwara MC,Naliendele,Naliendele,Level IA2 (Dispensary Laboratory),,Private,12-12-18,,
111227-5,Alailelai,-2.956721,35.698378,,Arusha Region,Ngorongoro District,Ngorongoro DC,Alailelai,Alailelai,Dispensary,,Public,07-01-14,,
100080-1,Alamano,-7.77281,35.70111,Alamano,Iringa Region,Iringa District,Iringa MC,Gangilonga,Sabasaba,Dispensary,,Private,01-01-70,754321807,1
110613-7,Alara,-6.91848,39.23563,,Dar es Salaam Region,Temeke District,Temeke MC,Chamazi,Msufini,Specialized Polyclinic,,Private,02-01-15,716560351,5
115276-8,Alban Health care Internation Polyclinic,-6.91172,39.06724,Ngugu,Pwani Region,Kisarawe District,Kisarawe DC,Kisarawe,Kisarawe,Dispensary,,Private,01-01-70,,
108587-7,Alensoni,-6.95372,38.96669,Kifuru,Pwani Region,Kisarawe District,Kisarawe DC,Kisarawe,Kifuru,Medical Clinic,Foundation,Private,01-01-70,754015465,
112947-7,ALEP,-3.40753,37.36253,ALEP,Kilimanjaro Region,Moshi District,Moshi DC,Mabogini,Mabogini,Level IA2 (Dispensary Laboratory),,Private,04-10-14,,
110629-3,Alexia,-6.94335,39.308997,Alexia Dispensary,Dar es Salaam Region,Temeke District,Temeke MC,Toangoma,Toangoma,Health Center,,Private,04-01-14,2.55656E+11,20
112325-6,Alexia Medical,-6.91139,39.30706,,Dar es Salaam Region,Temeke District,Temeke MC,Toangoma,Vikunai,Dispensary,,Private,05-04-18,,2
