Source:,Country - ONE Data & Analysis,
2023-02-07,25.1%,17.8%
2023-02-08,25.3%,17.1%
2023-02-09,25.5%,16.5%
2023-02-10,25.4%,16.7%
2023-02-11,26.1%,17.2%
2023-02-12,26.0%,17.4%
2023-02-13,25.9%,18.1%
2023-02-14,25.7%,18.4%
2023-02-15,26.0%,18.0%
2023-02-16,25.6%,17.8%
2023-02-17,25.8%,18.4%
2023-02-18,25.5%,19.0%
2023-02-19,25.7%,18.7%
2023-02-20,25.8%,19.0%
2023-02-21,27.2%,19.0%
2023-02-22,27.2%,19.5%
2023-02-23,27.5%,18.9%
2023-02-24,27.4%,18.9%
2023-02-25,27.5%,19.2%
2023-02-26,27.2%,19.2%
2023-02-27,27.3%,19.2%
2023-02-28,27.3%,19.7%
2023-03-01,27.2%,20.0%
2023-03-02,27.4%,20.0%
2023-03-03,27.2%,19.9%
2023-03-04,27.2%,19.7%
2023-03-05,30.1%,20.1%
2023-03-06,30.1%,19.9%
2023-03-07,26.8%,20.2%
2023-03-08,26.8%,20.6%
2023-03-09,26.5%,20.6%
2023-03-10,25.3%,21.7%
2023-03-11,25.4%,21.7%
2023-03-12,25.9%,21.0%
2023-03-13,25.6%,20.6%
2023-03-14,25.5%,21.1%
2023-03-15,25.5%,20.4%
2023-03-16,25.7%,20.4%
2023-03-17,25.5%,20.2%
2023-03-18,25.6%,20.3%
2023-03-19,25.6%,20.1%
2023-03-20,26.1%,20.1%
2023-03-21,28.2%,19.9%
2023-03-22,27.9%,20.6%
2023-03-23,25.5%,20.2%
2023-03-24,26.0%,20.1%
2023-03-25,25.5%,20.7%
2023-03-26,25.4%,20.0%
2023-03-27,26.2%,20.3%
2023-03-28,27.1%,20.9%
2023-03-29,26.1%,23.2%
2023-03-30,26.6%,23.6%
2023-03-31,26.0%,23.1%
2023-04-01,27.6%,23.8%
2023-04-02,27.4%,23.5%
2023-04-03,29.2%,23.8%
2023-04-04,29.7%,23.3%
2023-04-05,26.5%,23.7%
2023-04-06,28.5%,23.4%
2023-04-07,28.7%,23.8%
2023-04-08,28.0%,23.6%
2023-04-09,28.7%,23.3%
2023-04-10,28.3%,23.9%
2023-04-11,28.8%,24.7%
2023-04-12,27.6%,24.8%
2023-04-13,24.3%,24.3%
2023-04-14,27.3%,24.5%
2023-04-15,26.9%,24.3%
2023-04-16,27.0%,23.2%
2023-04-17,27.4%,23.2%
2023-04-18,27.3%,23.3%
2023-04-19,27.3%,23.1%
2023-04-20,25.7%,23.4%
2023-04-21,26.9%,23.3%
2023-04-22,26.7%,23.5%
2023-04-23,26.5%,23.5%
2023-04-24,25.9%,23.7%
2023-04-25,26.4%,24.1%
2023-04-26,25.5%,24.0%
2023-04-27,25.5%,23.7%
2023-04-28,25.6%,23.0%
2023-04-29,25.3%,22.7%
2023-04-30,25.3%,22.8%
2023-05-01,25.4%,22.2%
2023-05-02,25.4%,22.5%
2023-05-03,24.8%,22.4%
2023-05-04,24.8%,22.5%
2023-05-05,24.6%,22.0%
2023-05-06,24.1%,21.9%
2023-05-07,24.5%,21.0%
2023-05-08,24.4%,20.6%
2023-05-09,24.2%,20.5%
2023-05-10,24.4%,20.1%
2023-05-11,24.2%,20.0%
2023-05-12,24.3%,19.9%
2023-05-13,23.0%,20.3%
2023-05-14,23.0%,20.0%
2023-05-15,23.0%,19.4%
2023-05-16,23.0%,19.7%
2023-05-17,23.0%,19.9%
2023-05-18,22.8%,19.8%
2023-05-19,22.9%,19.9%
2023-05-20,23.1%,19.6%
2023-05-21,23.1%,19.7%
2023-05-22,23.2%,19.2%
2023-05-23,23.2%,19.2%
2023-05-24,23.7%,18.6%
2023-05-25,23.4%,18.9%
