Source:,https://datacatalog.worldbank.org/search?search_api_views_fulltext_op=AND&query=Prevalence+Of+Severe+Food+Insecurity+In+The+Population+%28%25%29&sort_by=search_api_relevance&sort_by=search_api_relevance,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Prevalence Of Severe Food Insecurity In The Population (%),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cabo Verde,17.90%,17.90%,17.50%,16.30%,14.90%,14.00%,13.90%,14.00%,14.50%,14.90%,15.30%,15.10%,14.70%,14.20%,13.60%,13.00%,12.70%,12.60%
Ethiopia,52.00%,49.00%,46.70%,44.20%,42.00%,39.70%,38.50%,37.20%,35.60%,33.70%,32.10%,30.70%,28.90%,26.70%,24.50%,22.70%,21.40%,20.60%
Gabon,10.50%,10.80%,11.30%,11.40%,11.20%,10.90%,11.00%,11.20%,11.50%,11.30%,10.80%,10.00%,9.40%,8.70%,8.50%,8.90%,9.80%,10.50%
Ghana,15.60%,13.60%,12.00%,11.00%,10.10%,9.30%,8.30%,7.30%,6.30%,5.60%,5.30%,5.50%,5.90%,6.20%,6.30%,6.20%,5.90%,5.50%
Guinea,26.30%,25.50%,24.70%,23.80%,22.50%,21.30%,20.20%,19.30%,18.50%,18.00%,17.60%,17.20%,16.50%,15.70%,14.90%,14.80%,15.50%,16.50%
"Gambia, The",13.10%,12.90%,13.80%,14.60%,15.10%,15.10%,14.50%,12.90%,11.30%,10.00%,9.30%,9.10%,9.40%,9.80%,10.10%,10.20%,10.20%,10.20%
Guinea-Bissau,25.70%,24.40%,24.20%,24.50%,24.60%,24.40%,24.10%,23.70%,23.30%,22.80%,22.20%,22.20%,22.60%,23.90%,25.30%,26.60%,27.40%,28.00%
Kenya,31.30%,31.80%,33.20%,33.00%,31.30%,28.20%,26.40%,25.60%,25.40%,24.50%,23.50%,22.70%,22.40%,22.30%,22.80%,25.00%,27.40%,29.40%
Liberia,38.40%,39.80%,40.60%,40.70%,40.00%,39.40%,39.00%,38.20%,37.30%,36.50%,36.50%,36.70%,37.60%,38.50%,39.20%,38.80%,38.10%,37.20%
Lesotho,13.60%,13.00%,12.60%,12.30%,11.90%,11.70%,11.70%,12.00%,12.30%,12.50%,12.70%,13.10%,13.20%,13.10%,13.10%,13.20%,13.40%,13.10%
Madagascar,34.40%,35.50%,37.00%,37.50%,36.90%,35.00%,33.50%,32.40%,32.20%,31.90%,31.80%,32.10%,33.40%,35.70%,38.40%,41.10%,43.00%,44.40%
Mali,14.60%,14.00%,13.50%,12.90%,12.20%,11.10%,9.80%,8.60%,7.70%,7.20%,6.90%,6.70%,6.40%,5.90%,5.60%,5.70%,6.00%,6.30%
Mozambique,41.10%,40.40%,39.20%,38.20%,37.50%,37.00%,35.80%,34.50%,32.50%,30.70%,28.50%,27.20%,26.50%,26.60%,26.80%,27.20%,27.50%,27.90%
Mauritania,11.60%,11.40%,11.40%,11.50%,12.10%,12.10%,11.50%,10.20%,9.30%,8.70%,8.20%,7.80%,7.20%,7.10%,7.40%,8.60%,9.60%,10.40%
Mauritius,6.60%,6.30%,6.00%,5.70%,5.50%,5.20%,5.20%,5.00%,4.90%,4.70%,4.80%,5.10%,5.50%,5.60%,5.60%,5.80%,6.10%,6.50%
Malawi,27.10%,26.40%,27.00%,27.40%,27.30%,26.10%,24.50%,23.20%,22.30%,22.00%,21.80%,21.30%,20.30%,19.00%,18.10%,17.70%,17.70%,17.50%
Namibia,26.20%,24.40%,24.30%,24.30%,24.50%,25.10%,26.70%,29.50%,33.30%,36.40%,37.40%,36.10%,33.90%,32.00%,30.90%,29.70%,28.50%,27.30%
Niger,21.60%,19.70%,18.50%,17.10%,15.90%,15.10%,14.40%,13.50%,12.40%,11.70%,11.30%,10.90%,10.60%,10.40%,10.30%,11.60%,14.10%,16.50%
Nigeria,9.30%,9.00%,9.00%,8.30%,7.40%,6.50%,6.10%,6.00%,6.00%,6.10%,6.20%,6.50%,7.00%,7.80%,8.60%,9.60%,11.50%,13.40%
Rwanda,55.50%,49.70%,45.70%,44.90%,44.90%,44.50%,43.20%,41.10%,38.60%,35.90%,34.00%,32.90%,32.50%,32.90%,33.90%,35.10%,36.00%,36.80%
Sudan,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,23.50%,22.50%,21.00%,20.10%,19.90%,20.10%
Senegal,28.70%,27.60%,26.70%,25.20%,23.40%,21.60%,19.20%,16.90%,14.70%,13.60%,13.10%,13.10%,13.30%,13.50%,13.40%,13.00%,12.00%,11.30%
Sierra Leone,39.60%,40.30%,40.00%,39.60%,38.80%,37.00%,34.60%,32.20%,30.40%,28.70%,27.00%,25.20%,23.70%,22.60%,22.00%,23.00%,24.40%,25.60%
Sao Tome and Principe,17.80%,14.50%,12.30%,10.90%,9.90%,9.40%,9.40%,10.10%,11.30%,12.90%,14.60%,15.50%,14.60%,12.10%,9.00%,7.10%,6.70%,7.00%
Eswatini,19.20%,17.40%,16.00%,15.30%,15.50%,17.00%,19.10%,21.20%,22.60%,23.30%,23.20%,22.70%,22.70%,22.70%,23.00%,22.40%,21.70%,20.60%
Chad,40.10%,39.80%,39.70%,39.10%,39.10%,39.20%,39.80%,40.30%,40.70%,40.80%,40.00%,38.90%,37.60%,36.90%,36.50%,36.50%,36.80%,37.50%
Togo,31.10%,30.50%,29.80%,28.60%,27.20%,26.00%,24.90%,23.90%,22.90%,22.00%,21.00%,20.10%,19.20%,18.30%,17.50%,17.10%,16.60%,16.10%
Tanzania,36.50%,36.90%,36.80%,36.80%,35.70%,34.40%,33.40%,33.20%,34.10%,34.50%,34.60%,33.60%,32.90%,32.40%,31.90%,31.50%,30.90%,30.70%
Uganda,27.70%,27.40%,26.40%,24.90%,23.70%,24.10%,25.80%,28.10%,29.60%,30.40%,30.90%,31.60%,32.30%,33.40%,35.10%,37.50%,39.70%,41.00%
South Africa,5.00%,4.70%,4.60%,4.40%,4.30%,4.40%,4.50%,4.60%,4.60%,4.50%,4.40%,4.40%,4.50%,4.80%,5.20%,5.70%,6.10%,6.20%
Zambia,47.40%,49.00%,50.00%,49.90%,50.20%,51.10%,52.60%,53.50%,53.00%,51.50%,50.00%,48.80%,47.70%,46.20%,45.00%,44.80%,45.60%,46.70%
Zimbabwe,40.20%,40.40%,40.80%,41.50%,41.90%,42.20%,42.10%,42.60%,43.00%,42.80%,41.90%,41.30%,42.00%,44.10%,46.90%,49.50%,50.90%,51.30%
Sub-Saharan Africa,27.60%,26.90%,26.40%,25.50%,24.50%,23.40%,22.70%,22.20%,21.70%,21.10%,20.60%,20.20%,20.00%,19.80%,19.70%,20.10%,20.70%,21.40%
