Source:,https://data.worldbank.org/indicator/NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,
"Agriculture, forestry, and fishing, value added (% of GDP)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ghana,35.30%,35.20%,35.10%,36.50%,38.00%,37.50%,28.90%,27.30%,29.40%,31.00%,28.00%,23.70%,22.10%,20.50%,20.00%,20.20%,21.00%,19.70%,18.30%,17.30%
Guinea,21.00%,21.70%,21.60%,20.80%,23.30%,22.30%,15.60%,16.80%,16.00%,16.40%,17.50%,16.10%,16.80%,17.50%,17.50%,18.50%,17.60%,18.80%,20.50%,20.30%
"Gambia, The",24.50%,25.40%,24.10%,26.70%,31.50%,32.10%,25.60%,23.60%,29.80%,31.70%,35.20%,27.20%,27.40%,26.20%,22.50%,22.20%,21.90%,21.00%,19.90%,16.80%
Guinea-Bissau,41.70%,37.50%,41.80%,42.30%,42.00%,44.40%,42.30%,43.20%,46.70%,44.00%,45.10%,45.00%,46.90%,44.10%,41.10%,46.80%,46.30%,49.20%,47.50%,52.50%
Equatorial Guinea,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.50%,1.40%,0.90%,1.10%,1.10%,1.10%,1.10%,1.20%,1.30%,1.90%,2.30%,2.30%,2.20%,2.50%
Kenya,28.70%,27.80%,25.90%,25.80%,24.90%,24.20%,20.50%,20.60%,22.20%,23.40%,24.80%,26.30%,26.20%,26.40%,27.50%,30.20%,31.10%,34.80%,34.10%,34.10%
Liberia,76.10%,76.50%,79.00%,72.20%,65.00%,66.00%,63.80%,65.60%,65.20%,58.00%,44.80%,44.30%,38.80%,37.20%,35.80%,34.40%,37.20%,37.10%,37.30%,39.10%
Lesotho,7.80%,8.30%,6.40%,6.30%,6.00%,5.70%,4.80%,5.30%,5.50%,6.00%,4.80%,4.50%,4.80%,5.00%,3.90%,3.80%,5.60%,5.40%,4.40%,4.40%
Madagascar,30.90%,29.90%,34.10%,32.00%,31.40%,30.80%,30.20%,28.10%,27.10%,30.50%,29.10%,29.10%,28.00%,26.50%,25.80%,25.70%,25.10%,24.60%,23.80%,23.20%
Mali,32.90%,32.80%,32.70%,29.90%,30.00%,32.40%,29.80%,31.40%,33.00%,31.70%,33.00%,34.60%,38.10%,36.80%,37.50%,37.70%,37.40%,37.40%,37.40%,37.30%
Mozambique,19.50%,18.50%,23.10%,22.90%,22.50%,22.80%,24.00%,23.80%,26.40%,27.50%,26.90%,25.80%,24.90%,23.50%,23.90%,22.90%,22.90%,25.00%,24.50%,24.00%
Mauritania,24.80%,24.90%,24.20%,24.20%,22.90%,20.10%,16.60%,18.40%,18.60%,19.20%,16.70%,14.50%,16.10%,16.30%,18.80%,20.60%,21.70%,20.90%,20.00%,18.70%
Mauritius,5.70%,6.10%,5.20%,5.20%,5.30%,5.00%,4.90%,4.40%,4.10%,3.90%,3.60%,3.70%,3.70%,3.40%,3.30%,3.20%,3.20%,3.10%,2.80%,2.90%
Malawi,35.70%,35.30%,38.80%,36.20%,34.70%,32.90%,30.90%,27.50%,30.00%,30.40%,29.60%,28.80%,28.30%,28.70%,28.70%,27.50%,25.90%,26.10%,26.30%,25.50%
Namibia,11.00%,9.90%,10.30%,10.50%,9.10%,10.60%,9.80%,8.50%,7.60%,8.30%,8.60%,8.20%,8.10%,7.50%,7.70%,6.20%,6.30%,7.10%,7.00%,6.60%
Niger,36.80%,40.40%,41.60%,41.40%,37.80%,39.60%,40.00%,37.50%,39.20%,35.20%,36.30%,34.10%,34.10%,32.60%,33.70%,32.60%,35.90%,36.00%,38.40%,38.20%
Nigeria,21.40%,24.50%,37.00%,33.80%,27.20%,26.10%,24.70%,24.70%,25.30%,26.70%,23.90%,22.20%,21.90%,20.80%,20.00%,20.60%,21.00%,20.80%,21.20%,21.90%
Rwanda,37.20%,37.30%,35.40%,38.30%,38.60%,38.40%,29.90%,26.00%,24.70%,25.30%,24.20%,23.70%,24.70%,24.80%,24.60%,23.90%,25.00%,26.30%,24.60%,24.10%
Sudan,40.70%,41.20%,40.30%,36.60%,32.20%,30.60%,28.10%,25.20%,24.50%,24.70%,33.90%,32.00%,31.30%,27.10%,30.50%,27.70%,24.80%,22.40%,20.90%,28.40%
Senegal,16.90%,16.30%,13.60%,15.10%,13.70%,14.60%,12.90%,12.00%,14.50%,15.90%,15.80%,12.90%,14.00%,13.70%,13.40%,14.30%,14.40%,15.00%,15.00%,14.80%
Sierra Leone,55.00%,45.10%,46.20%,46.40%,48.50%,49.40%,50.30%,52.20%,53.70%,55.30%,52.90%,54.60%,50.60%,48.00%,51.80%,58.70%,58.20%,60.30%,58.90%,57.40%
Somalia,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
South Sudan,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.20%,5.20%,5.30%,4.70%,6.20%,9.60%,7.60%,10.40%,0.00%,0.00%,0.00%,0.00%
Sao Tome and Principe,0.00%,10.40%,10.90%,10.60%,10.20%,9.00%,9.10%,9.80%,9.90%,11.20%,11.60%,11.60%,11.80%,12.30%,11.70%,12.20%,11.70%,12.10%,11.40%,0.00%
Eswatini,12.30%,12.10%,12.50%,12.40%,9.70%,11.00%,11.20%,10.80%,10.00%,9.30%,10.20%,9.70%,10.20%,10.10%,9.20%,9.30%,8.90%,8.30%,8.60%,8.80%
Seychelles,2.80%,2.80%,2.90%,2.60%,3.50%,3.30%,3.00%,2.70%,2.60%,2.30%,2.30%,2.20%,2.00%,2.70%,2.40%,2.00%,2.00%,1.90%,2.00%,2.30%
Chad,40.70%,40.30%,37.90%,32.30%,22.90%,53.80%,55.80%,54.70%,54.60%,46.50%,51.90%,51.20%,54.90%,50.00%,50.60%,50.40%,46.10%,48.60%,45.10%,42.60%
Togo,30.60%,33.90%,33.20%,28.40%,31.10%,36.60%,33.60%,29.10%,38.90%,30.90%,28.70%,29.90%,42.50%,37.50%,25.70%,24.40%,24.10%,23.60%,23.40%,22.80%
Tanzania,26.20%,25.80%,25.20%,24.90%,25.70%,24.60%,23.70%,23.20%,24.80%,26.00%,25.60%,25.00%,26.60%,26.80%,25.80%,26.70%,27.40%,28.70%,0.00%,0.00%
Uganda,27.50%,27.90%,23.40%,24.50%,21.70%,25.10%,24.00%,22.30%,21.40%,33.70%,32.00%,28.40%,26.70%,25.80%,24.60%,23.30%,22.40%,23.50%,22.80%,21.90%
South Africa,3.00%,3.20%,3.40%,3.10%,2.80%,2.40%,2.30%,2.60%,2.90%,2.70%,2.40%,2.30%,2.20%,2.10%,2.20%,2.10%,2.20%,2.40%,2.20%,1.90%
Zambia,16.10%,15.50%,15.40%,15.60%,15.60%,14.60%,13.20%,12.10%,11.50%,11.60%,9.40%,9.60%,9.30%,8.20%,6.80%,5.00%,6.20%,4.00%,2.80%,2.70%
Zimbabwe,15.70%,15.60%,12.60%,14.80%,18.10%,17.10%,19.20%,21.20%,19.00%,10.70%,9.60%,8.70%,8.00%,7.10%,8.70%,8.30%,7.90%,8.30%,8.30%,0.00%
Sub-Saharan Africa (IDA & IBRD countries),17.50%,18.40%,20.40%,19.50%,17.50%,17.30%,16.20%,15.90%,16.30%,17.00%,16.50%,15.80%,15.70%,15.00%,15.00%,15.00%,15.10%,15.20%,14.40%,15.30%
